ID	Number	Name	Glottocode	Glottolog_Name	SubGroup	Family
Nepali	1	Nepali	nepa1254	Nepali	Indo-Aryan	Indo-European
Gurung	2	Gurung	guru1261	Gurung	Tamangic	Sino-Tibetan
SahuTamang	3	Tamang (Sahu)	west2415	Western Tamang	Tamangic	Sino-Tibetan
Thakali	4	Thakali	thak1245	Thakali	Tamangic	Sino-Tibetan
Magar	5	Magar	maga1261	Magar	Magar	Sino-Tibetan
Kham	6	Kham	parb1234	Parbate Kham	Kham	Sino-Tibetan
Kaike	7	Kaike	kaik1246	Kaike	Kaike	Sino-Tibetan
JirelTibetan	8	Tibetan (Jirel)	jire1238	Jirel	Tibetan	Sino-Tibetan
SherpaTibetan	9	Tibetan (Sherpa)	sher1255	Solu-Khumbu Sherpa	Tibetan	Sino-Tibetan
Sunwar	10	Sunwar	sunw1242	Sunwar	Kiranti	Sino-Tibetan
Khaling	11	Khaling	khal1275	Khaling	Kiranti	Sino-Tibetan
Newar	12	Newar	newa1246	Kathmandu Valley Newari	Newaric	Sino-Tibetan
Chepang	13	Chepang	chep1245	Chepang	Chepang	Sino-Tibetan
