LEXEME,REPLACEMENT
"jarāio (stag, better kno",jarāio
"yehmce yahmno 'nyop-pā(t)",yehmce_yahmno 'nyop-pā
"'nyu: 'tep-pā(t)",'nyu: 'tep-pā
"chep-pā(t)",chep-pā
"kohng 'chem-pā(n)",kohng 'chem-pā
"sem-Ti nyipi ('se:h)",sem-Ti nyipi
"pong (S)",pong
"tāhm-pā(m)",tāhm-pā
"'phum 'phum-pā(m)",'phum 'phum-pā
"karāl (sp.)",karāl
"cung.sā  (?)",cung.sā
"thā(m)",thā
"dhu(l)",dhu
"'pāhm-pā(m)",pāhm-pā
"hyengwā(l)",hyengwā
"ninā(l)",ninā
'e:,'ē
hā̩:sā:q,hāsāq
d-i|,d-i
'e:,'ē
khālq 'nyi-tāngq 'cyutˉ,khālq 'nyi-tāngq 'cyut
"Tuhp-pā(t)",Tuhp-pā
"mi-ja(l)",mi-ja
"byāng (sp.)",byāng
"lāp-pā(p)",lāp-pā
"lukhā dawā(l)",lukhā dawā
"pakhā(l)",pakhā
"pehm-pā(n)",pehm-pā
"bruk.wā (S)",bruk.wā
"hāka(l)",hāka
"jhyā(l)",jyā
"khle them-pā(n)",khle them-pā
"macā gā(l)",macā gā
"māka(l)",māka
"'tehp-pā(p)","'tehp-pā",
"tā(l)","tā",
"ku.wāʔ (S)","ku.wāʔ",
"imu(li)","imu",
"dhyāca(l)","dhyāca",
"bārTā (bull tur","bārTā",
"torāk (sp.)","torāk",
"tuhp-pā(t)","tuhp-pā",
"sum-pā(m)","sum-pā",
"bhuji(n)","bhuji",
"lop-pā(t)","lop-pā",
"'wāhm-pā(m)","'wāhm-pā",
"nyem-pā(n)","nyem-pā",
"khākhā(l)","khākhā",
"papu(ti)","papu",
"wehm-pā(n)","wehm-pā",
"jhā-ye (h)","jhā-ye",
"cyohng-la (h)","cyohng-la",
"'mlep-pā(t)","'mlep-pā",
"'khip-pā(t)","'khip-pā",
"hā phwa(l)","hā phwa",
"dhong (sp.)","dhong",
"syep-pā(t)","syep-pā",
"tām syep-pā(t)","tām syep-pā",
"ku(n)","ku",
"chāki(l)","chāki",
"khrāp-pā(p)","khrāp-pā",
"sa̩ kwa(kh)","sa̩ kwa",
"'tiro rehm-pā(n)","'tiro rehm-pā",
"tik (sp.)","tik",
"phā-twā◦(th)","phā-twā",
"ring (S)","ring",
"phat phat yā pargil  (PA","phat phat yā pargil",
"cakhu(n)","cakhu",
"Tih 'tha:-pa  (?pā)","Tih 'tha:-pa",
"sar? (S)","sar?",
"ta:kai(c)","ta:kai",
"gā(m)","gā",
"yā: 'lip-pā(p)","yā: 'lip-pā",
"'tuhp-pā(t)","'tuhp-pā",
"suku(li)","suku",
"bark (khrep-pā(t)","bark",
"dhali(m)","dhali",
"dęsyātul (?","dęsyātul",
"kruyk (sp.)","kruyk",
"'prehm-pā(n)","'prehm-pā",
"bhusā kai(c)","bhusā kai",
"panja(l)","panja",
"utrey 'chu-ne lāey-ne  (","utrey 'chu-ne lāey-ne",
"'kuhr 'yārn-pā(m)","'kuhr 'yārn-pā",
"kha(t)","kha",
"sye-la (h)","sye-la",
"bhutu(li)","bhutu",
"tum? (S) kwāy (S)  ((?))","tum?",
"lehm-pā(m)","lehm-pā",
"'gal (wild)","'gal",
"'pip-pā(t)","'pip-pā",
"kim-pā(n)","kim-pā",
"cus (sp.)","cus",
"dosti (?)","dosti",
"phlem-pā(n)","phlem-pā",
"gha(t)","gha",
"(tel) ghasnu","ghasnu",
"rihp-pā(t)","rihp-pā",
"jhāla (h)","jhāla",
"ku (hāka)","ku",
"khwa(1)","khwa",
"ʔeh (flying squirr","ʔeh",
"nakha(t)","nakha",
